device_id,phone_brand,device_model
1608982815239116756,Samsung,Galaxy Note 3
-4244857800457832965,Samsung,Galaxy R
-7930945000118591468,Xiaomi,F301
-4338342114905461103,Huawei,Honor Play 5X
4486340976295203389,Xiaomi,Redmi Note
-3183647977013292586,OPPO,N1 mini
8394627758435216403,vivo,X5M
6154574796085364029,OPPO,Find 5
7028710317607338037,Xiaomi,Redmi Note
-8931357977554266315,Cool,Youth version
-3105139098919670576,Xiaomi,Xiaomi Note
-7512807473685808927,Huawei,Honor Play 4C
-4645265162522195186,Xiaomi,Redmi 2
-7779024476214423627,Xiaomi,Redmi Note enhanced version
4821188344512951911,vivo,X5Pro
-6804409317631863501,vivo,X5V
-1471555669853512141,Xiaomi,Redmi Note
2228793902948671507,OPPO,A11
-4506037980642577602,Xiaomi,Mi pad
-6542619556983326172,OPPO,R1
6817020593563771960,Nubia,Z7 mini
1604294017098291062,Xiaomi,Redmi 2A
-6914116235104401043,Samsung,Galaxy Note 5
-5016858682269222163,Xiaomi,Xiaomi 4C
2245330978838477229,Huawei,MediaPad M2-801W
559670674810483440,Samsung,Galaxy j5
835081718953722180,Meizu,Charm Blue Note 2
5239695402507119552,Xiaomi,Mi 3
-4254733899160289728,Cool,Youth version
2016969891061346864,Samsung,Galaxy Grand Neo Plus
61327251415190511,Huawei,Ascend GX1
197934938249113639,Xiaomi,Redmi Note
463679977175061055,Xiaomi,Mi 3
1084123005508667663,Xiaomi,Mi 2S
9073815480828593798,OPPO,R817
-8126302119835621758,vivo,X3T
-6183582202662359302,Samsung,Galaxy E7
-6355933532242418611,Huawei,Honor 3X Play Edition
217445952540199645,Xiaomi,X817
2877422230403206693,Xiaomi,GN700W
4177039748786282819,Huawei,Honor 6
9188025633060370895,Huawei,Honor Play 4X
7810188155959021092,Xiaomi,Mi 4
-8927426486423851326,Meizu,Charm Blue Note 2
1041180170966084486,vivo,Y20T
1256369741925334811,Huawei,Honor+
5055162262471561212,Samsung,A680
5017417916377750590,Xiaomi,Redmi 2A
-4071758319202042733,OPPO,R7
-6804922457174088323,Huawei,Honor 4A
625164286551776757,Xiaomi,Redmi Note2
7476559289032341946,OPPO,R7 Plus
7734229661190115075,Huawei,Honor Play 4X
-6247247125500122830,vivo,Y27
6203265913933675222,Xiaomi,Redmi 1s
-3135972485475791427,Coolpad,5891
8750943020428801057,Coolpad,Great God F1
-3375494958820388122,Samsung,Galaxy j5
-3665158397517933641,Huawei,P8 Lite
4639825251936594517,Samsung,Galaxy Grand Prime
-5029093692011976229,Quality rice,UIMI3
-820308339006326431,Huawei,Ascend P8
-3844727541546448596,OPPO,N1 mini
5463675985357974179,HP,Compaq 7
-7059047520849163352,Huawei,G628
5597650430359778474,Xiaomi,Xiaomi Note
-3496331643488195603,Ou Boxin,IVO 6622
1041524894491773161,Xiaomi,Redmi 2
4227091240805759644,Huawei,B199
-6485763788883183890,Samsung,Galaxy Trend 3
-6913773784771078780,Huawei,Glory 7
4491850891434520727,Huawei,Honor Play 4X
-8358486409337514301,vivo,X1ST
-6357324092893042699,Samsung,S7568i
4035078303533819006,Huawei,C8818
7367934189164533341,vivo,Y622
2221646194686349829,Huawei,Mate 7
3536582625138338211,Meizu,Charm Blue 2
-1353779184986416234,Huawei,Mate 7 Youth Edition
6373871410849747545,Huawei,Mate 7
-3734487735993077847,OPPO,1107
-1362602904777527960,Xiaomi,Mi 4
2107223618969302050,Huawei,Glory 7
6957816558741637492,Samsung,Galaxy S2
5895568335541144552,Xiaomi,Redmi 2
7252062330170425343,Cool,Youth version
-7687333523744027111,Samsung,Galaxy Note 3
5690863410118930629,Huawei,P8 Lite
-8801127454334482899,Huawei,Honor 6
-7870159506816141682,Samsung,Le Lemon K3 Note
-2209908897759253133,Meizu,MX3
-2326332034831725775,Xiaomi,Mi 2
-1850287767207382611,Xiaomi,Mi 3
-2182212731494303636,Samsung,Galaxy S3
-1438980405808677799,OPPO,R7
3865921038118525765,Samsung,Galaxy Win
-1218058066526535237,Samsung,Galaxy S4 ZOOM
5843628064548947201,Samsung,Galaxy S5
5552472811055828179,Samsung,Galaxy Ace dear
-5253130124542217342,Xiaomi,Mi 2
5330770856550954906,Xiaomi,Redmi Note
-662311857737993803,vivo,Y27
-8222074447671112306,Samsung,Galaxy S4
-3262653050352962253,Xiaomi,Redmi 1s
4530094653265194852,Nibiru,Mars No. 1
-903253296973722553,Samsung,Galaxy Note 3
-6146110267414616899,Coolpad,Great God F1
-547299159843479631,Meizu,MX3
-7972821561196524183,Xiaomi,Mi 4
8047328286333786744,Huawei,Honor Play 4X
-2032316601126448406,Xiaomi,GN706L
-6416813644380097357,Samsung,Le Meng K3
-8046062912970608187,Huawei,Ascend P1
-2088125469436349694,OPPO,R831T
6229806970618411889,Meizu,M9
3874208694416262926,Samsung,Galaxy S6 Edge
-6222816368538321420,Meizu,MX3
-9172144120341857683,Huawei,U9508
6827550793455009956,Samsung,Le Lemon K3 Note
-2484673922270027744,Xiaomi,Redmi Note2
5453171693869676427,vivo,X5M
-8490893175242071921,vivo,X5max
-2328704728545202083,Huawei,Honor Play 4C
-2667442540217860814,Beautiful map,2
3485302089310188126,Meizu,Charm Blue Note 2
3002864372540600191,Xiaomi,Redmi Note2
-1460290366306897189,China Mobile,A1
1014365374377886461,Village rice,X8888
-6812597424746632624,Xiaomi,Mi 3
1179895184101054072,Meizu,Charm Blue 2
-6928327044156742334,Samsung,Galaxy S4
6475746767262464782,Samsung,Galaxy Trend Duos 2
1597960539703750985,Meizu,MX3
-8789124281531477756,Samsung,Lenovo Golden Fighter S8
-4203319929854647786,Samsung,S60T
-1643602226892030356,Coolpad,Great God F2
7532912724729515595,Meizu,MX3
-8351624812977157365,Meizu,Charm Blue Note
3710047436838760923,Xiaomi,Xiaomi Note
-5863900647969195092,HTC,One
7287503213218561570,vivo,Xplay3s
5073758563623540223,OPPO,R1S
7812995524324637936,Xiaomi,Mi 4
-3085928842624768532,vivo,X5M
9101119145988909139,Xiaomi,Redmi Note
-572522234563116907,Huawei,Honor Play 4X
-6636635849036130074,Meizu,Charm Blue 2
-6101572398289111027,vivo,X5Pro
-3867246836503700068,Coolpad,Y60-C1
-4445464189276353987,Samsung,Galaxy S4
-2101263862936668123,LG,Nexus 5
-5689014255106644266,Xiaomi,Redmi Note
452470226595961413,Samsung,Galaxy Win
3374447981047317501,Samsung,Galaxy mega 5.8
7471315022444064878,Quality rice,UIMI4
201908145015996865,Xiaomi,Redmi Note2
9113963253448952890,OPPO,R809T
4923754768226234571,vivo,X3L
-64983638317365633,Lenovo,Q507T
2656491637531045394,Huawei,Honor 6 Plus
6113503721356634279,Motorola,Moto X STYLE
-1571938099619621699,Xiaomi,Redmi 1s
1581938542533933271,Samsung,A788T
672465596380697970,Coolpad,Great God F2
7054000321869620830,OPPO,R7
1378947719883661260,Xiaomi,Mi 4
-724166789496487213,Meizu,Charm blue
-1731940290151392648,vivo,X5V
2428072939638272059,vivo,Y13il
-2562891345651651669,Samsung,Galaxy S6 Edge
-123091620660008967,vivo,X5Pro
-9177242489883139028,Huawei,Honor 6 Plus
540163513040717065,Huawei,G610S
3119210440443412011,Samsung,Galaxy Note 2
1676232191829570234,OPPO,N1T
3023580358903591170,vivo,Y27
-8236788558398294918,Huawei,X1 7.0
-8880996631495052823,Xiaomi,Redmi 2A
7484949649911820581,vivo,Y613F
5509797330009415273,Samsung,Galaxy A7
-5940437598218410209,China Mobile,N1
1973493713702098065,Xiaomi,Mi 2S
2562481487879502195,OPPO,R7
-5379771342889966487,Xiaomi,Redmi Note2
8789935764770246520,Samsung,Galaxy S4
-3194605666047016654,Xiaomi,Redmi 2A
6684656605720064167,Xiaomi,Redmi Note
-2344091284277293323,Huawei,Honor 4A
-3523095557661783831,Samsung,Galaxy S4
4533620519636349106,vivo,Y23L
2325279733887900997,Coolpad,Great God F2 Full HD Version
5755801361587551626,Xiaomi,Mi 2S
5683388852503964779,Huawei,Honor Play 4C
-3860763766992208465,Meizu,MX5
2198360599608410724,Huawei,Ascend P8
6498151016790859615,Meizu,Charm Blue 2
915444367986170120,Zuk,Z1
1238700974573603593,Huawei,Ascend P8
-858386084058370821,vivo,Y13il
-2650011867593184828,HTC,Inspiration XL
-2174283074309163482,Xiaomi,Redmi Note
1151738900049772797,OPPO,Find 5
-3750165081722885080,Cool,Flagship version
-4430795538203534500,Xiaomi,Redmi Note2
1446873408352129988,OPPO,Find 5
-4582547448510593251,vivo,Y927
4549496211550394484,Meizu,Charm Blue 2
911904779795551698,Samsung,Galaxy Grand Neo Plus
3598548865268256727,Xiaomi,Redmi Note3
-8085589666736261400,Nubia,Z9 mini
1803457904898116567,vivo,X3S
-734485850674115409,vivo,Y15
6764693466536145362,OPPO,R7
6272734946700986903,OPPO,R831S
-4523731822854136693,Huawei,Ascend P7
-8723439088795974233,Huawei,Honor 6
1025882112858178387,Xiaomi,Mi 3
-616718052096376630,Xiaomi,Mi 4
-7038575260818677461,OPPO,N1 mini
3300361375762338521,OPPO,R7S
7714151389348840955,Huawei,Honor Play 4X
476093905660062295,Coolpad,Great God F1Plus
-6014164743660909283,Xiaomi,Mi 2S
-7077316740294597452,Huawei,Honor Play 4
8979362461617093339,Xiaomi,Redmi Note2
3511365316455817258,OPPO,R815T
6745198645236173777,Meizu,MX5
-8394226350013076373,OPPO,R819T
-3686025432670501150,Samsung,Galaxy Note 3
-273670262674386633,Samsung,Galaxy Core Prime
-5006810952361421309,HTC,Butterfly
7371221915044358081,Coolpad,Great God F1Plus
-234596011786726086,China Mobile,A1
4553597285921238280,Xiaomi,Xiaomi 4C
2379121766744628115,Meizu,Charm Blue Note
8465879828692773227,Samsung,Galaxy style duos
-7857939359841994827,OPPO,A31
3556722749881652520,vivo,Xperia S
-2137227742415007231,Samsung,Galaxy Note 3 Lite
-6886494989754489195,OPPO,R1S
-8317776529630798230,Dream rice,P6
758945775719823296,Xiaomi,S7
8692682454737086491,Xiaomi,Mi 2
7573480668371805913,Samsung,Galaxy S6
-6627913455393671842,Xiaomi,Redmi Note enhanced version
-1462078113511750131,Huawei,G628
5673628446478659332,Xiaomi,Mi 2S
2375523501863307275,Samsung,Galaxy Grand Neo Plus
-4964582742040081394,hammer,Nut mobile phone
-6935205211257040349,Xiaomi,Mi 3
-2919817498217216321,Richness,M210
-2533192902565666740,Meizu,Charm Blue Note 2
-2280251559739859587,Xiaomi,Redmi Note
496154761689206870,Huawei,Ascend P8
-2977754504281043871,Meizu,MX2
-3713711606429296043,Xiaomi,Redmi 1s
-8337049912898237432,OPPO,R7
-4276133118757867337,vivo,S7I
-7463689019945416743,OPPO,A51
4659291518938488370,Meizu,Charm Blue Note 2
7517787789940127721,Huawei,Honor Play 4C
6030445536605196241,Meizu,MX3
2548473019414080561,Nubia,Z7 mini
-1969239982129475799,OPPO,X907
1743211856360122597,Xiaomi,Red rice
-1617557466398596339,Xiaomi,Mi 4
-210351317030552666,Meizu,Charm blue
-8599494881173996883,Samsung,Galaxy j5
1479391217077400134,vivo,Y33
954703868217350398,vivo,Y27
620331438819843066,Samsung,Galaxy Win
-4941342448592021616,Huawei,Honor Play 4X
443375728272332111,Leeco,Super mobile phone 1 Pro
-1856873666048506233,Xiaomi,Redmi Note enhanced version
-5788800395524474157,Xiaomi,Mi 2S
7845144586475566294,Samsung,Galaxy S4
-7793193189838109187,Samsung,Galaxy Grand duos
489008394850803353,Huawei,Honor Play 4X
-3452901561966246869,Xiaomi,Redmi Note enhanced version
4469889593958854204,vivo,Xperia Z5
-2875990704214225089,Huawei,G620-l75
98503289715646852,Huawei,Enjoy 5
-2492869764454238790,vivo,Xplay
-8978883150945034940,Samsung,Galaxy Win
-6723177021887374654,Huawei,Honor Play 4X
-6276278269422901898,Meizu,MX4 Pro
-9183949596387782012,Huawei,Honor 6
1925553923187379157,Samsung,Galaxy S5
8754900870302651611,vivo,X5Pro
1811836844512667345,Samsung,Le Meng K3
-6893375933269031936,Huawei,Glory 7
5932025400118437646,Huawei,Mate 7
-4360838764255430028,OPPO,R7
-4487490092892040378,Huawei,Ascend P8
-3989339919344526616,Huawei,Honor Play 4X
4595164039261780959,Xiaomi,Mi 2
4749790496409284642,Samsung,Galaxy S6 Edge+
7715942457335606446,Xiaomi,Mi 4
-223472652014855496,vivo,X5max+
3866545657666545473,Xiaomi,Mi 3
7943620256549958708,Huawei,Honor Play 4C
-3740406247708405400,Xiaomi,Redmi Note2
1373695950947877742,OPPO,R7S
6681813546912411603,Coolpad,8185
-2263092006789760041,Huawei,Honor 3C
-6094345935598210762,Huawei,Honor 7i
-1187612535313159627,Samsung,G3588V
-7736063171032369945,vivo,Y937
5182634224636798566,Samsung,Galaxy S4
5203099801514264978,Huawei,Honor 6 Plus
-6613393426458859118,Xiaomi,Xiaomi 4C
-2956334783638347534,HTC,T528T
5067845878726884735,Samsung,Galaxy A8
-8391029357442320355,Samsung,Galaxy S6
2309252619242148676,OPPO,N3
-6725090764519584329,vivo,X5max+
-3185045500141345544,Xiaomi,Mi 2S
-6149473145121874406,Xiaomi,Mi 4
8882826085141123756,Coolpad,8720L
593861446495196776,Samsung,Galaxy Note 3
687077695945399616,Huawei,Glory 7
3706441776468770290,Xiaomi,Redmi 2A
2284360110056895413,Huawei,Glory 7
1303773491104159127,Huawei,G610T
3198118119842446971,Meizu,MX3
4453421676718915584,vivo,S7T
-7057577039556083223,Huawei,Enjoy 5
-8429528610229688219,Huawei,Honor Play 4X
-8894199296242837098,vivo,X3T
-8659887135916970303,Xiaomi,Mi 3
-2117314255038975513,Nibiru,Mars No. 1
-7273014645463642131,Xiaomi,Mi 2S
3140940776106551144,China Mobile,A1
-8301731093485295195,Lenovo,V5 MAX
-7991948987700799574,Xiaomi,Mi 3
4619710663186155671,Meizu,MX5
4915303929452020814,OPPO,A51
9130693239198348494,Meizu,Charm Blue Note 2
7948073777015809850,Xiaomi,Redmi 2
-5932278665259014624,Xiaomi,Mi one plus
5298673078875224260,vivo,Xperia Z1
-1041597465276221517,Xiaomi,Red rice
-9179392810848439302,OPPO,R7
6031170282142438963,Samsung,Galaxy Grand duos
7602515035958175834,Samsung,S90-T
-4794735870849923338,Huawei,Honor 6
4451828602330206974,Samsung,Galaxy S4
-1109285471337044632,vivo,Xperia Z3 mini
-3884290749318679136,Coolpad,8105
7774826130244411689,vivo,Y27
7934553064412250139,Xiaomi,Xiaomi 4C
-4175903333241763438,Xiaomi,Redmi 2
3305160818219763988,vivo,X5M
9040305266366893578,Xiaomi,Mi 2
-1636277832980181268,China Mobile,A1
8364456753514280491,Meizu,Charm Blue 2
921231529777877325,Meizu,Charm Blue Note 2
1574643303259752313,vivo,X5L
4858897522851138472,Coolpad,7270-W00
-7278302391919474844,OPPO,R7 Plus
-7101477552390394162,Xiaomi,Mi 4
7340472137146957601,Xiaomi,Red rice
-7003269477952270990,Xiaomi,S7
-4750266975496196018,HTC,M8ST
2214620190602891890,Huawei,P8 Lite
7975363579210877326,OPPO,Find 7
-3140228792280273095,OPPO,R7 Plus
-749945579537685709,Xiaomi,Redmi 2
3005054185285510307,Coolpad,F2
6215557000961674564,Xiaomi,Redmi 2A
-8833821477328898539,OPPO,R7 Plus
-7536856226501811981,Huawei,Honor Play 4X
-7524257999851516314,Huawei,Honor Play 4C
3132420421091035088,Huawei,Honor Play 5X
-3542345942984113251,Samsung,Galaxy A8
3276489383557182957,Cool,Youth version
1361157773765159340,Xiaomi,Mi 2
635865081828496069,HTC,Desire 820
-7296330339319982248,Samsung,A750
6882746531123928618,Xiaomi,Xiaomi Note
-3802082410985769896,Huawei,Ascend P8
-1652272189039955694,Xiaomi,F301
-7334051818152907205,Xiaomi,Mi 4
-6065147391819402574,Samsung,Galaxy Trend Duos 2
8884625593579215667,Huawei,Honor 6
2552804091140372532,Xiaomi,Redmi Note
8468929674698797459,Samsung,S898T
-7596564478669917183,Samsung,Galaxy Note 3
6488948760058698825,OPPO,R7
4089947549758617354,Xiaomi,Mi 4
7452297132503109510,Huawei,Honor 6
-3866966610256094628,Meizu,Charm Blue Metal
-423858005707557632,Xiaomi,Mi 2S
716239890991290993,LG,P970
3584536376614605672,Xiaomi,Mi 4
4491354501747992182,Samsung,Galaxy Note 2
7497355282213416111,Xiaomi,Xiaomi 4C
-7910041592229699907,Meizu,Mx4
1113772935844467689,Samsung,Galaxy Win
4333597877239573391,OPPO,R7
-2972469503211909244,Xiaomi,Mi 4
7528253813620869757,Xiaomi,Redmi 2A
-2826883247692391704,Samsung,Galaxy mega 6.3
2554606243494617121,Xiaomi,Mi 3
-1029776527662783615,Huawei,Honor Play 4C
8226436103141355091,vivo,X3T
6610920400369632803,OPPO,R7 Plus
249558421987950446,Xiaomi,Mi 3
-1644727107080426506,Samsung,Galaxy A7
7233283139845083704,OPPO,R1S
5632935003531610027,Samsung,Galaxy S4
-444068606036816132,Coolpad,5890
-8159704210213029650,Samsung,Galaxy Grand Prime
-3958580476041277999,Cool,Flagship version
-451455165356876967,Samsung,Galaxy Note 2
-1740111271518408476,OPPO,R823T
-2709780278262868838,Huawei,Honor 6
-4911187971884485815,Nubia,Z9 max
-4573265070178043046,Meizu,Pro5
-7787265069062507738,Xiaomi,Redmi Note
-2854701438613515740,Xiaomi,Note top version
5767380056484635000,Meizu,Mx4
-4596537046828326467,Huawei,Honor Play 4X
-4569413420366164569,Meizu,MX3
9169826718819903312,Huawei,Honor Play 4X
6690948776971378783,Xiaomi,Redmi Note2
1731593778549194288,vivo,X5sl
8702655410163195741,Huawei,Honor Play 4
-7801245781673113308,OPPO,R7
4823533963602784225,Xiaomi,Mi 3
-2059562544538846494,Samsung,Galaxy Note 4
-6724180042758044605,vivo,Y29L
-8918878907522136309,Xiaomi,Redmi Note
5764142973706635678,Xiaomi,Redmi Note2
-6226497902770423511,Meizu,Pro5
-1008172259872900192,Xiaomi,Redmi Note
1401813711102812260,Xiaomi,Mi 3
-9193385808489893612,Xiaomi,Redmi Note2
-6482684617120101618,Huawei,G610S
4371859378735186730,Hisense,E602T
-4455113778129742157,Xiaomi,Mi 3
-7585152716680891307,Huawei,Honor Play 4X
8285593309927340344,Samsung,Galaxy S5
-9193464968161690954,Samsung,Galaxy Note 2
-1171992495061476594,Xiaomi,GN150
-6165247554869936477,Samsung,Galaxy Note 2
-7381424305938716311,Huawei,G628
7116594078955604855,Coolpad,8190Q
-7574558643950734975,Samsung,Galaxy Grand 2
6549078800816214296,Huawei,Honor 7i
446508023708633846,Meizu,Mx4
7059695387682942222,Xiaomi,Redmi Note
8027061469440628491,Meizu,Mx4
7082561760051647185,Hisense,E620M
-8007192543815904865,Leeco,Super mobile phone 1
104024209111440690,Coolpad,8702D
-3033694627973325721,Meizu,Charm Blue Note
1241520752858517585,OPPO,R831S
171161177541244158,Samsung,Galaxy Grand
3061510293310925641,Xiaomi,Mi 2S
1867683933730058832,Huawei,Mai Mang 4
-2467424271232582725,vivo,Y27
184549844784077739,Xiaomi,Mi 2S
1344567447706469125,Samsung,Galaxy S4
5913870150565721104,Xiaomi,Xiaomi 4C
-4510948746686686320,Samsung,Galaxy Note 3
3856426485294135139,Huawei,Honor 3C
2934265528257286013,Xiaomi,Redmi Note
2999450573578363280,vivo,X3L
1749986978131277304,China Mobile,N1
-7755551111002651450,Leeco,Super mobile phone 1 Pro
5812246907035263969,Samsung,Galaxy Note
-2496705891799683947,Lenovo,U960e
-2828406027422108348,Xiaomi,Redmi Note
3468652792621111996,Samsung,Galaxy A7
-6311742925461483139,LG,Nexus 5
6849455745550601656,Samsung,Galaxy Grand 2
-6835921906322850841,Lenovo,Grand x
2518800760241946529,vivo,Xperia Arc S
-6937489105927924169,Meizu,Mx4
-7383729859322465816,Bai Lifeng,T708
-8363543717895063746,Xiaomi,Mi 4
8269714575804857458,OPPO,N1 mini
4606714468796333826,One plus,X
-2019505863726101732,Huawei,G610T
-3128885026273701635,vivo,Y29L
6571589275976777137,Samsung,Galaxy S6 Edge+
7834542029709111186,Xiaomi,Mi 2S
-5925478927342992867,Samsung,Galaxy S6
-7575057278369229905,Samsung,Galaxy S3
-4661602098732065133,Coolpad,F2
9123676204396397557,Samsung,Galaxy mega 5.8
-503017450638907,Samsung,Galaxy A7
5726865096630356761,Linguistic,T50
-6291489875229048828,Meizu,Charm Blue 2
4499349691855367422,Xiaomi,Mi 4
45817958939645203,OPPO,R6007
-3940548360908759703,Lenovo,V5 MAX
-7467925731126581316,Xiaomi,Mi 4
1115991149944834419,Huawei,Honor Play 5
-8977193068697317912,HTC,ONE M8
-2789772317064365442,Xiaomi,GN128
5449866837188516158,vivo,X3T
-3084226054116081811,Samsung,Galaxy Note 3 Lite
-2986361806193027290,Meizu,MX3
-8637244575327374671,OPPO,A11
1543400054583723285,OPPO,N1 mini
-4533349015665811119,Samsung,Galaxy S6 Edge
